#                PTC                  CN               Count
             -3.3845                   5                   0
             -3.3845                   6                   0
             -3.3845                   7                   0
             -3.3845                   8                   0
             -3.3845                   9                   0
             -3.3845                  10                   0
             -3.3845                  11                   0
             -3.3845                  12                   0
             -3.3845                  13                   0
             -3.3845                  14                   0
             -3.3775                   0                   0
             -3.3775                   1                   0
             -3.3775                   2                   0
             -3.3775                   3                   0
             -3.3775                   4                   0
             -3.3775                   5                   0
             -3.3775                   6                   0
             -3.3775                   7                   0
             -3.3775                   8                   0
             -3.3775                   9                   0
             -3.3775                  10                   0
             -3.3775                  11                   0
             -3.3775                  12                   0
             -3.3775                  13                   0
             -3.3775                  14                   0
             -3.3705                   0                   0
             -3.3705                   1                   0
             -3.3705                   2                   0
             -3.3705                   3                   0
             -3.3705                   4                   0
             -3.3705                   5                   0
             -3.3705                   6                   0
             -3.3705                   7                   0
             -3.3705                   8                   0
             -3.3705                   9                   0
             -3.3705                  10                   0
             -3.3705                  11                   0
             -3.3705                  12                   0
             -3.3705                  13                   0
             -3.3705                  14                   0
             -3.3635                   0                   0
             -3.3635                   1                   0
             -3.3635                   2                   0
             -3.3635                   3                   0
             -3.3635                   4                   0
             -3.3635                   5                   0
             -3.3635                   6                   0
             -3.3635                   7                   0
             -3.3635                   8                   0
             -3.3635                   9                   0
             -3.3635                  10                   0
             -3.3635                  11                   0
             -3.3635                  12                   0
             -3.3635                  13                   0
             -3.3635                  14                   0
             -3.3565                   0                   0
             -3.3565                   1                   0
             -3.3565                   2                   0
             -3.3565                   3                   0
             -3.3565                   4                   0
             -3.3565                   5                   0
             -3.3565                   6                   0
             -3.3565                   7                   0
             -3.3565                   8                   0
             -3.3565                   9                   0
             -3.3565                  10                   0
             -3.3565                  11                   0
             -3.3565                  12                   0
             -3.3565                  13                   0
             -3.3565                  14                   0
             -3.3495                   0                   0
             -3.3495                   1                   0
             -3.3495                   2                   0
             -3.3495                   3                   0
             -3.3495                   4                   0
             -3.3495                   5                   0
             -3.3495                   6                   0
             -3.3495                   7                   0
             -3.3495                   8                   0
             -3.3495                   9                   0
             -3.3495                  10                   0
             -3.3495                  11                   0
             -3.3495                  12                   0
             -3.3495                  13                   0
             -3.3495                  14                   0
             -3.3425                   0                   0
             -3.3425                   1                   0
             -3.3425                   2                   0
             -3.3425                   3                   0
             -3.3425                   4                   0
             -3.3425                   5                   0
             -3.3425                   6                   0
             -3.3425                   7                   0
             -3.3425                   8                   0
             -3.3425                   9                   0
             -3.3425                  10                   0
             -3.3425                  11                   0
             -3.3425                  12                   0
             -3.3425                  13                   0
             -3.3425                  14                   0
             -3.3355                   0                   0
             -3.3355                   1                   0
             -3.3355                   2                   0
             -3.3355                   3                   0
             -3.3355                   4                   0
             -3.3355                   5                   0
             -3.3355                   6                   0
             -3.3355                   7                   0
             -3.3355                   8                   0
             -3.3355                   9                   0
             -3.3355                  10                   0
             -3.3355                  11                   0
             -3.3355                  12                   0
             -3.3355                  13                   0
             -3.3355                  14                   0
             -3.3285                   0                   0
             -3.3285                   1                   0
             -3.3285                   2                   0
             -3.3285                   3                   0
             -3.3285                   4                   0
             -3.3285                   5                   0
             -3.3285                   6                   0
             -3.3285                   7                   0
             -3.3285                   8                   0
             -3.3285                   9                   0
             -3.3285                  10                   0
             -3.3285                  11                   0
             -3.3285                  12                   0
             -3.3285                  13                   0
             -3.3285                  14                   0
             -3.3215                   0                   0
             -3.3215                   1                   0
             -3.3215                   2                   0
             -3.3215                   3                   0
             -3.3215                   4                   0
             -3.3215                   5                   0
             -3.3215                   6                   0
             -3.3215                   7                   0
             -3.3215                   8                   0
             -3.3215                   9                   0
             -3.3215                  10                   0
             -3.3215                  11                   0
             -3.3215                  12                   0
             -3.3215                  13                   0
             -3.3215                  14                   0
             -3.3145                   0                   0
             -3.3145                   1                   0
             -3.3145                   2                   0
             -3.3145                   3                   0
             -3.3145                   4                   0
             -3.3145                   5                   0
             -3.3145                   6                   0
             -3.3145                   7                   0
             -3.3145                   8                   0
             -3.3145                   9                   0
             -3.3145                  10                   0
             -3.3145                  11                   0
             -3.3145                  12                   0
             -3.3145                  13                   0
             -3.3145                  14                   0
             -3.3075                   0                   0
             -3.3075                   1                   0
             -3.3075                   2                   0
             -3.3075                   3                   0
             -3.3075                   4                   0
             -3.3075                   5                   0
             -3.3075                   6                   0
             -3.3075                   7                   0
             -3.3075                   8                   0
             -3.3075                   9                   0
             -3.3075                  10                   0
             -3.3075                  11                   0
             -3.3075                  12                   0
             -3.3075                  13                   0
             -3.3075                  14                   0
             -3.3005                   0                   0
             -3.3005                   1                   0
             -3.3005                   2                   0
             -3.3005                   3                   0
             -3.3005                   4                   0
             -3.3005                   5                   0
             -3.3005                   6                   0
             -3.3005                   7                   0
             -3.3005                   8                   0
             -3.3005                   9                   0
             -3.3005                  10                   0
             -3.3005                  11                   0
             -3.3005                  12                   0
             -3.3005                  13                   0
             -3.3005                  14                   0
             -3.2935                   0                   0
             -3.2935                   1                   0
             -3.2935                   2                   0
             -3.2935                   3                   0
             -3.2935                   4                   0
             -3.2935                   5                   0
             -3.2935                   6                   0
             -3.2935                   7                   0
             -3.2935                   8                   0
             -3.2935                   9                   0
             -3.2935                  10                   0
             -3.2935                  11                   0
             -3.2935                  12                   0
             -3.2935                  13                   0
             -3.2935                  14                   0
             -3.2865                   0                   0
             -3.2865                   1                   0
             -3.2865                   2                   0
             -3.2865                   3                   0
             -3.2865                   4                   0
             -3.2865                   5                   0
             -3.2865                   6                   0
             -3.2865                   7                   0
             -3.2865                   8                   0
             -3.2865                   9                   0
             -3.2865                  10                   0
             -3.2865                  11                   0
             -3.2865                  12                   0
             -3.2865                  13                   0
             -3.2865                  14                   0
             -3.2795                   0                   0
             -3.2795                   1                   0
             -3.2795                   2                   0
             -3.2795                   3                   0
             -3.2795                   4                   0
             -3.2795                   5                   0
             -3.2795                   6                   0
             -3.2795                   7                   0
             -3.2795                   8                   0
             -3.2795                   9                   0
             -3.2795                  10                   0
             -3.2795                  11                   0
             -3.2795                  12                   0
             -3.2795                  13                   0
             -3.2795                  14                   0
             -3.2725                   0                   0
             -3.2725                   1                   0
             -3.2725                   2                   0
             -3.2725                   3                   0
             -3.2725                   4                   0
             -3.2725                   5                   0
             -3.2725                   6                   0
             -3.2725                   7                   0
             -3.2725                   8                   0
             -3.2725                   9                   0
             -3.2725                  10                   0
             -3.2725                  11                   0
             -3.2725                  12                   0
             -3.2725                  13                   0
             -3.2725                  14                   0
             -3.2655                   0                   0
             -3.2655                   1                   0
             -3.2655                   2                   0
             -3.2655                   3                   0
             -3.2655                   4                   0
             -3.2655                   5                   0
             -3.2655                   6                   0
             -3.2655                   7                   0
             -3.2655                   8     0.0003332185951
             -3.2655                   9                   0
             -3.2655                  10                   0
             -3.2655                  11                   0
             -3.2655                  12                   0
             -3.2655                  13                   0
             -3.2655                  14                   0
             -3.2585                   0                   0
             -3.2585                   1                   0
             -3.2585                   2                   0
             -3.2585                   3                   0
             -3.2585                   4                   0
             -3.2585                   5                   0
             -3.2585                   6                   0
             -3.2585                   7                   0
             -3.2585                   8     0.0003332185951
             -3.2585                   9                   0
             -3.2585                  10                   0
             -3.2585                  11                   0
             -3.2585                  12                   0
             -3.2585                  13                   0
             -3.2585                  14                   0
             -3.2515                   0                   0
             -3.2515                   1                   0
             -3.2515                   2                   0
             -3.2515                   3                   0
             -3.2515                   4                   0
             -3.2515                   5                   0
             -3.2515                   6                   0
             -3.2515                   7                   0
             -3.2515                   8                   0
             -3.2515                   9                   0
             -3.2515                  10                   0
             -3.2515                  11                   0
             -3.2515                  12                   0
             -3.2515                  13                   0
