#                  R                OClO                ClOO                 OOO             OO(cl)O
               54.18       0.06362498116      0.005342494736      0.005937682786      0.009954628123
               54.54       0.06502032892      0.005570101508      0.005932133485      0.009869889672
                54.9       0.06496278881      0.006022182848      0.005910075013      0.009809117652
               55.26       0.06381198653       0.00629677267      0.005782163623      0.009370018406
               55.62       0.06251733396       0.00640848792      0.005701560025      0.009178286962
               55.98       0.06133776162      0.006517070967      0.005688033604      0.008953173703
               56.34       0.06322220036      0.006979592986      0.005683524797      0.008606516404
                56.7       0.06418599727      0.007204067554      0.005618181777       0.00854488844
               57.06       0.06054658505      0.007701043809      0.005628933547      0.008539752776
               57.42       0.05610161124      0.008121803117      0.005642737434        0.0084019458
               57.78       0.05394385696      0.008162521759       0.00560215817      0.008167417158
               58.14       0.05515219936      0.008116582778      0.005658761041      0.008286393367
                58.5       0.05132578177      0.008597898016      0.005733537873      0.008122908073
               58.86       0.05249096908      0.008656365811      0.005722092439      0.008155433943
               59.22       0.05290813491      0.008473653952      0.005799297091      0.008260715049
               59.58       0.05646123695      0.008245003113      0.005760798814      0.008045873118
               59.94       0.05569883044      0.008314955653      0.005825448172      0.007965414386
                60.3       0.05348353605      0.008348365821      0.005829540781      0.007593934713
               60.66       0.04810353538      0.008186535318      0.005793400958      0.007540866188
               61.02       0.04114118157      0.007912989564      0.005820592533      0.007537442412
               61.38       0.03658112753       0.00726671162      0.005804777025       0.00740049138
               61.74       0.03330134103      0.006964976037      0.005805678787      0.007151411691
                62.1       0.02898583247      0.006746765875      0.005870536243      0.006990494229
               62.46       0.02397984255      0.006587023507      0.005921589813      0.007282371115
               62.82       0.02045551056      0.006780176043      0.006029731818      0.007016172547
               63.18       0.01672978817      0.006779131975      0.006127399517      0.006983646677
               63.54       0.01618315709      0.006553613339       0.00619974853      0.006885213123
                63.9       0.01435625847      0.006651755709      0.006314549696       0.00676538097
               64.26        0.0133636915      0.006717531977      0.006401118792      0.006763669082
               64.62       0.01193957367      0.006545260797        0.0065088446      0.007062393521
               64.98       0.01106208693       0.00649723368      0.006588962634      0.007258404685
               65.34      0.009494118825      0.006611037066      0.006734978618       0.00760420604
                65.7      0.007019893919      0.006723796384        0.0068758615      0.007878964048
               66.06      0.005495080896      0.006702915029      0.006860045991       0.00810493325
               66.42      0.004329893585      0.006360460803      0.006888624892      0.008334326228
               66.78      0.002977700904      0.005891674378      0.006997252461      0.008526057673
               67.14      0.001913208794      0.005652582861      0.007077439861      0.008879562524
                67.5     0.0009062567969      0.005475091341      0.007222831549      0.009048183482
               67.86     0.0003740107416      0.005085654066      0.007236774168       0.00923649115
               68.22     0.0001438502852      0.005007348984      0.007264173842      0.009401688332
               68.58     1.438502852e-05      0.005021965933       0.00737245458      0.009532647756
               68.94                   0      0.004954101528      0.007446260284      0.009415383435
                69.3                   0      0.005007348984      0.007455069799       0.00957886873
               69.66                   0      0.004979159155      0.007598588599      0.009394840781
               70.02                   0      0.005167091352      0.007721574984      0.009158600251
               70.38                   0      0.005434372699       0.00785586807      0.009215948495
               70.74                   0      0.005482399816      0.007957559012      0.009148328924
                71.1                   0      0.005920908275      0.008105794717      0.009339204424
               71.46                   0      0.005853043871      0.008115228529      0.009378577846
               71.82                   0      0.006139118438       0.00822233004       0.00924505059
               72.18                   0      0.005881233701       0.00830661005      0.009617386207
               72.54                   0      0.005984596409      0.008465042595       0.00954206314
                72.9                   0      0.005895850649      0.008669881171      0.009929805749
               73.26                   0      0.005838426922      0.008721905869        0.0096678869
               73.62                   0      0.005908379462      0.008817353848      0.009480435176
               73.98                   0      0.005915687937      0.008760959075      0.009280144292
