                  #X                  OH                  OO                 OCl                 HCl
               1.926        0.8493219996                   0                   0         1.007743162
               1.938        0.8052649808                   0                   0         1.167565863
                1.95        0.7550226511                   0                   0         1.257220746
               1.962        0.7237312178                   0                   0          1.26990151
               1.974        0.6806970271                   0                   0         1.337527929
               1.986        0.6374897153                   0                   0         1.439884871
               1.998        0.6114183218                   0                   0         1.755791043
                2.01        0.5773077984                   0                   0          1.69930155
               2.022        0.5505203434                   0                   0         1.986896996
               2.034        0.5126008783                   0                   0         1.746318246
               2.046        0.4805734192                   0                   0         2.180980106
               2.058        0.4549137157                   0                   0         2.164106853
                2.07        0.4322117308                   0                   0         2.189420052
               2.082          0.39710248                   0                   0         2.205715399
               2.094        0.3833258797                   0                   0         2.270678862
               2.106        0.3466816082                   0                   0         2.009852856
               2.118        0.3465799024                   0                   0          2.21149774
                2.13        0.2979165616                   0                   0         2.329257304
               2.142        0.2921008964                   0                   0         2.162218129
               2.154        0.2812312552                   0                   0         2.362859015
               2.166        0.2621927525                   0                   0         2.275458531
               2.178        0.2462016363                   0                   0         2.053444326
                2.19        0.2300684651                   0                   0         2.083463857
               2.202        0.2255674088                   0                   0         2.172012936
               2.214        0.2167271511                   0                   0         1.957877233
               2.226        0.1943618447                   0                   0         1.958587072
               2.238        0.1885240387                   0                   0         1.973522037
                2.25        0.1790802835                   0                   0         2.002228016
               2.262        0.1689337236                   0                   0         1.580617513
               2.274        0.1663831548     0.0008826692563                   0         1.605685711
               2.286         0.153504748      0.001310140097                   0         1.685167699
               2.298        0.1507173029      0.003457314475                   0         1.769712847
                2.31        0.1486208722      0.002993801741                   0         1.515612132
               2.322        0.1463479773      0.004656045555                   0         1.439987907
               2.334        0.1316505141      0.005027227268                   0         1.405424223
               2.346        0.1263678757       0.01575711001                   0         1.169032432
               2.358        0.1287790238       0.01847029824                   0         1.215345624
                2.37        0.1247356771       0.03087919041                   0         1.132677146
               2.382        0.1216720651       0.04102661369                   0         1.292338331
               2.394        0.1172697585       0.07087951447                   0        0.9783762194
               2.406        0.1154129895       0.09658815517                   0         1.005896645
               2.418        0.1112452071        0.1327135803                   0        0.7992089875
                2.43        0.1182654612        0.1654170503                   0        0.8582941928
               2.442        0.1146184594        0.2365082067                   0        0.8800171864
               2.454        0.1181425697        0.2967301752                   0        0.8415881692
               2.466        0.1210298933        0.3846686532                   0        0.7802206147
               2.478        0.1191172104        0.4995117965                   0         0.737560387
                2.49        0.1211926221        0.5988774372                   0        0.7826448376
               2.502          0.12613935        0.7670439085                   0        0.6373500537
               2.514        0.1304446938        0.8604836132                   0          0.77914751
               2.526        0.1247373864         1.045826861                   0        0.6534629533
               2.538        0.1368467163         1.196456598                   0        0.6528784118
                2.55        0.1468805307         1.365269449                   0        0.6467481433
               2.562        0.1410747914         1.568772542                   0        0.6954648219
               2.574        0.1505266853         1.753274207                   0        0.5153902812
               2.586        0.1684144183         1.879347927                   0        0.5536176092
               2.598        0.1696517128         2.094653435                   0        0.5857929097
                2.61        0.1742093647         2.249645931                   0        0.4590584269
               2.622         0.189880265         2.312090989                   0        0.4862362205
               2.634        0.2038610121         2.503896772                   0        0.4662734727
               2.646        0.2136693383         2.583915857                   0        0.5287949413
               2.658        0.2299146886         2.687587228                   0        0.3968390516
                2.67        0.2384970173         2.726228993                   0        0.3428594705
               2.682        0.2603216252         2.827527512                   0         0.404759675
               2.694         0.270507128         2.897358533                   0        0.3912566045
               2.706        0.3013060261         2.888236818                   0        0.3976117536
               2.718        0.3214344401         2.873911193       0.01946215255         0.355184284
                2.73        0.3371407578         2.884834768                   0        0.3858286602
               2.742        0.3574170408         2.790736538      0.009561474977        0.2629405619
               2.754        0.3760490705         2.765566719       0.02843499673        0.3033066318
               2.766        0.4100054641          2.72074197       0.06577388492        0.3335675593
               2.778        0.4495725509         2.660026374       0.09315267457        0.2515122214
                2.79        0.4749587266         2.553636117        0.1570002457        0.3047651829
               2.802         0.504763328         2.446932159        0.2472221194        0.2701130564
               2.814        0.5449951251         2.387199694        0.2088043195        0.2405788898
               2.826        0.5755253156          2.25009252        0.3060514464        0.2385400979
               2.838        0.5960993287         2.182084815        0.4105753665         0.240989889
                2.85        0.6447553433         2.053607933        0.5044811936        0.2522405968
               2.862        0.6734907059         1.968718721        0.4827066493        0.2325768401
               2.874        0.7171282114          1.81775631        0.8268180207        0.2175836897
               2.886        0.7557710997         1.776366914        0.7250141683        0.2632491921
               2.898        0.7773104429         1.641305742         0.855978988        0.2482339065
                2.91        0.8345155317         1.579825625         1.035699399        0.2843928677
               2.922        0.8886182673         1.477332881         1.145086677        0.2568025268
               2.934        0.9124486432         1.366121263         1.361216695         0.325689884
               2.946        0.9522968266         1.274812927         1.606926938        0.2733432421
               2.958         1.005554338         1.224584039         1.651427869        0.2711299486
                2.97         1.043950683         1.145629151         1.613660572        0.2444940261
               2.982         1.090680256         1.108966265         1.996832221        0.3395423209
               2.994         1.110405582         1.054267916         2.045014981        0.3568751634
               3.006         1.145125062          1.00267898         2.140100841        0.3301642561
               3.018         1.200743809        0.9603945995         2.146793877        0.3354365432
                3.03         1.228787213        0.9132785559         2.106332565        0.3641058151
               3.042         1.279102456        0.8441854248         2.214044596        0.4195031865
               3.054         1.306507478         0.826308784         2.705384386        0.3391365042
               3.066         1.332716784        0.7807664042         2.500710307        0.4741407921
               3.078         1.351191637        0.7568648436         2.860645592        0.4704509992
                3.09         1.384756587        0.6921990293         2.710475481        0.4141004207
               3.102         1.412129855        0.7003727681           2.7941387        0.4856123409
               3.114         1.463575993        0.6636839078         2.646616094        0.5078240964
               3.126         1.472679363        0.6536937774         2.736685846        0.4266875782
               3.138         1.495738469        0.6181110976         2.248561631        0.5402388333
                3.15         1.503281607        0.6168606594         2.187992339        0.4709255034
               3.162         1.537259408        0.6062527915          2.53811292        0.6974417938
               3.174          1.54338388        0.5806095529         2.062262608        0.5780043989
               3.186         1.562188055        0.5951299655         2.344209514        0.5736585217
               3.198           1.5890351        0.5641175022         2.389912361        0.6326238603
                3.21         1.593455646        0.5687669886         2.365100579        0.7116231832
               3.222         1.585015902        0.5346405926         2.077448026        0.7513437029
               3.234         1.580803251        0.5575198159          1.91084189        0.7182840916
               3.246         1.565454711        0.5495065515         1.739815284         0.777799774
               3.258         1.602158796        0.5304157747         1.638978294        0.8702839287
                3.27         1.603227177        0.5361342786         1.674032331        0.7529783977
               3.282          1.58024269        0.5320090358         1.555029995        0.8676133021
               3.294         1.565700274        0.5565345144         1.583473202        0.8414271824
               3.306         1.552579815        0.5633596049         1.558844007        0.8583508138
               3.318         1.560285913         0.551829289         1.266802699         1.041520776
                3.33         1.536558083        0.5659703629         1.354933049        0.9756814538
               3.342         1.546896081        0.5516966407          1.43533076         1.029833729
               3.354         1.506024601        0.5804184527         1.297268716           1.1183351
               3.366         1.499082397        0.5791073791         1.294380528         1.069132936
               3.378         1.477100647        0.5720002505         1.039500455         1.137150498
                3.39         1.469541323        0.6154200758         1.032154193         1.075942553
               3.402         1.452833165        0.6055648808         1.000039822         1.062154096
               3.414         1.451106427        0.6044481906          0.98068635          1.16572151
               3.426         1.427640064        0.6210258581        0.9615790174         1.283126141
               3.438         1.407313332        0.6230698161        0.9852882775         1.271143519
                3.45         1.387378175        0.6308225404         1.159639734         1.280435539
               3.462         1.369732054        0.6485448497        0.9176928664           1.2145935
               3.474         1.360238389        0.6779209153        0.9113639753         1.268761613
               3.486           1.3296214        0.6653740989         1.047076852         1.304409299
               3.498         1.319255475        0.6945756743        0.8695251862          1.32778846
                3.51         1.292884083        0.7283645266        0.8460846835          1.35081796
               3.522         1.286986673        0.7265373465        0.7244215755         1.330038013
               3.534         1.270221132        0.7117441192        0.8749244782         1.436142482
               3.546         1.240267189        0.7328892823        0.9547706958         1.300660678
               3.558          1.23817984        0.7254301573        0.8631609327         1.439548003
                3.57         1.221319539        0.7445563586        0.8178838788         1.396043172
               3.582         1.202567049        0.7669677734        0.7843988591         1.529577775
               3.594         1.201043045        0.7673318295        0.6845561071         1.355198472
               3.606         1.186305646        0.7903146536        0.7850493994         1.348958123
               3.618         1.168511614        0.7807221467        0.8402613635         1.348262515
                3.63         1.141703904        0.7951399612        0.7801585614          1.37209705
               3.642         1.155527657        0.8081467253         0.661210957         1.541922273
               3.654         1.147266743        0.7997707229        0.5868802686          1.42412689
               3.666         1.123848557         0.836996115           0.5723464         1.262371499
               3.678         1.119605947        0.8512817916        0.6323879897         1.493285925
                3.69         1.113634773        0.8584922761        0.6652393291         1.449271396
               3.702         1.103096327        0.8749168737         0.597987532          1.37169947
               3.714         1.089733878        0.8782065474        0.6931511549         1.334185682
               3.726         1.062876402        0.8817645318        0.6938717541         1.387743508
               3.738          1.08293121         0.885095468        0.7100036906         1.450877107
                3.75         1.068911435        0.9365653826        0.5418804042         1.329140614
               3.762         1.064078473        0.9520468736        0.7314506468         1.361310926
               3.774         1.054838866        0.9330234639        0.7772792072         1.279482331
               3.786         1.038689306        0.9451097479        0.7522984432         1.386736797
               3.798         1.037159316        0.9643026515        0.7774541804         1.358052975
                3.81         1.047733677        0.9609105648         0.792373895         1.299988422
               3.822         1.031595664        0.9887882718        0.9104382452         1.419791534
