#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
                1.35       0.05680189856                   0                   0                   0       0.00256561678     0.0002170003956
               1.362       0.06390953523                   0                   0                   0      0.002507454183     0.0002701433496
               1.374       0.07278044919                   0                   0                   0       0.00314724275     0.0002081432366
               1.386        0.0832756499                   0                   0                   0      0.002995373747     0.0002347147136
               1.398       0.09618451722                   0                   0                   0      0.003683631145     0.0002612861906
                1.41        0.1104533949                   0                   0                   0      0.004074613047     0.0002435718726
               1.422         0.127575621                   0                   0                   0      0.003951825343     0.0002790005086
               1.434        0.1582333007                   0                   0                   0        0.0039259753     0.0003144291446
               1.446        0.1786625803                   0                   0                   0      0.003942131576     0.0002612861906
               1.458        0.2081725662                   0                   0                   0      0.003951825343     0.0004561436886
                1.47        0.2387604428                   0                   0                   0      0.003896894001     0.0004605722681
               1.482        0.2667742547                   0                   0                   0      0.003955056598     0.0005358581196
               1.494        0.3058347928                   0                   0      0.001208909019      0.003961519109     0.0004295722116
               1.506        0.3411098327                   0                   0      0.001189720393      0.004420357374     0.0005270009606
               1.518        0.3864250596                   0                   0      0.001170985029      0.004533451313     0.0006288582892
                1.53         0.431233674                   0                   0       0.00345806629      0.004701476593     0.0007484299357
               1.542        0.4768577205                   0                   0      0.002269635961      0.005053683431     0.0008325729462
               1.554        0.5218423999                   0                   0      0.003352078768      0.004678857806     0.0008768587412
               1.566        0.5742348653                   0                   0      0.003300902994      0.004995520834     0.0009920018083
               1.578        0.6295030812                   0                   0      0.003250890277       0.00525079001     0.0009742874903
                1.59        0.6769954775                   0                   0      0.007471346486      0.005722553297      0.001284288055
               1.602        0.7297919857                   0                   0      0.002102810268      0.005176471136      0.001399431122
               1.614        0.7841390315                   0                   0       0.00725080334      0.005651465678      0.001465859815
               1.626        0.8343457755                   0                   0       0.00612357927      0.005428509056      0.001443716917
               1.638        0.8895315383                   0                   0        0.0120683711      0.005674084466      0.001713860267
                1.65        0.9402291666                   0                   0       0.01288459278      0.005741940829      0.001744860323
               1.662        0.9939338402                   0                   0        0.0146529302      0.005761328361      0.001979575037
               1.674           1.0315486                   0                   0       0.01733232746        0.0050052146      0.001997289355
               1.686         1.076327889                   0                   0       0.01328948677      0.004026144217      0.002072575207
               1.698         1.110770211                   0                   0       0.02246110974      0.003354043095      0.002453433044
                1.71         1.140202949                   0                   0       0.02491534519      0.002633473143      0.002347147136
               1.722         1.167742492                   0                   0       0.04276878903      0.002542997992      0.002621719065
               1.734         1.190538533                   0                   0       0.05922992237      0.002597929334       0.00275457645
               1.746         1.207822826                   0                   0         0.077006292      0.002423441543      0.003038005538
               1.758         1.224137825                   0                   0         0.085562565      0.002772417125      0.002945005368
                1.77         1.223932825                   0                   0        0.1042159811       0.00276918587      0.003126577128
               1.782         1.222880482                   0                   0        0.1504019175      0.003085848898      0.003250577354
               1.794         1.231315071                   0                   0        0.1836093384      0.003625468548      0.003467577749
               1.806         1.233088793                   0                   0        0.1985506437      0.004210325774      0.003808578371
               1.818         1.215970013                   0                   0        0.2212468539      0.004446207417      0.003866149905
                1.83         1.207633791                   0                   0         0.265893274      0.004769332956      0.004123007516
               1.842         1.186913726                   0                   0        0.2950463656      0.004911508194      0.004207150526
               1.854         1.163686504                   0                   0        0.3037995573      0.005069839708      0.004548151148
               1.866         1.146369005                   0                   0        0.4339706903       0.00463362023       0.00470758001
               1.878         1.129458405                   0                   0        0.4735819517      0.005451127844      0.005225723811
                1.89         1.099634164                   0                   0         0.531040208      0.005577146804      0.005411724151
               1.902         1.065402976                   0                   0        0.5795563925      0.006300948012      0.006005153804
               1.914         1.029404047                   0                   0        0.6665925218      0.006310641778      0.005721724716
               1.926         1.001075273                   0                   0        0.7215972162       0.00624601667      0.006279725733
               1.938        0.9618834543                   0                   0        0.7457367882      0.006669311126      0.006107011132
                1.95        0.9275987519                   0                   0        0.8756725055      0.006775942554      0.006487868969
               1.962        0.8936332287                   0                   0        0.9561194607       0.00744481242      0.006580869139
               1.974        0.8616316202                   0                   0         1.050478321      0.007664537786      0.006815583852
               1.986        0.8246999625                   0                   0         1.096657114      0.007767937959      0.007081298622
               1.998        0.7881615582                   0                   0         1.129487227      0.007425424887       0.00728501328
                2.01        0.7578940373                   0                   0          1.33711209      0.007015055453      0.007528585152
               2.022        0.7159467219                   0                   0         1.424905991      0.007176618222      0.007705728332
               2.034        0.6886406004                   0                   0         1.517063296      0.007134611902      0.007980300261
               2.046        0.6538512126                   0                   0         1.582472385      0.007380187312      0.007705728332
               2.058        0.6209566604                   0                   0         1.676200725      0.007651612765      0.008157443441
                2.07        0.5941564252                   0                   0         1.773323179      0.008546670508      0.008507301222
