                  #X                OClO                HClH
              94.725          0.00644955          0.00649076
              95.175           0.0076961          0.00672895
              95.625          0.00726252          0.00786037
              96.075          0.00747931          0.00696715
              96.525           0.0078587          0.00732444
              96.975          0.00639535          0.00696715
              97.425          0.00829228          0.00637166
              97.875          0.00661214          0.00726489
              98.325          0.00650375          0.00809856
              98.775          0.00818388          0.00726489
              99.225          0.00655795          0.00762218
              99.675          0.00747931          0.00744353
             100.125           0.0076961          0.00756263
             100.575          0.00623276          0.00684805
             101.025           0.0077503          0.00732444
             101.475          0.00672054           0.0085154
             101.925          0.00693733          0.00821766
             102.375          0.00682894           0.0085154
             102.825          0.00661214          0.00786037
             103.275          0.00731672          0.00905134
             103.725          0.00812968          0.00762218
             104.175           0.0077503          0.00809856
             104.625          0.00850907          0.00887269
             105.075          0.00910525          0.00976592
             105.525          0.00812968          0.00845585
             105.975          0.00753351          0.00952772
             106.425          0.00693733          0.00797947
             106.875           0.0076419           0.0086345
             107.325           0.0078045          0.00839631
             107.775          0.00672054          0.00845585
             108.225          0.00812968          0.00976592
             108.675          0.00829228          0.00791992
             109.125          0.00753351           0.0087536
             109.575           0.0077503           0.0107782
             110.025           0.0077503          0.00994456
             110.475          0.00834648          0.00899179
             110.925          0.00840067          0.00905134
             111.375          0.00867166          0.00976592
             111.825          0.00894265          0.00881314
             112.275          0.00861747          0.00934908
             112.725          0.00812968          0.00988501
             113.175           0.0101892          0.00911088
             113.625          0.00975562          0.00821766
             114.075            0.010135          0.00857495
             114.525           0.0110022          0.00893224
             114.975           0.0111648          0.00964682
             115.425           0.0107854           0.0085154
             115.875           0.0107854          0.00839631
             116.325          0.00959303           0.0086345
             116.775          0.00910525           0.0105996
             117.225          0.00953883          0.00821766
             117.675           0.0100808          0.00958727
             118.125           0.0102976          0.00976592
             118.575            0.011219           0.0100041
             119.025          0.00905105           0.0100041
             119.475          0.00910525          0.00964682
             119.925          0.00964723          0.00958727
             120.375          0.00910525          0.00917043
             120.825          0.00948463          0.00869405
             121.275          0.00975562          0.00988501
             121.725          0.00975562           0.0103019
             122.175          0.00872586          0.00940863
             122.625          0.00980982           0.0100637
             123.075           0.0107312          0.00833676
             123.525          0.00937624          0.00911088
             123.975           0.0105686          0.00982546
             124.425          0.00991822           0.0085154
             124.875          0.00980982          0.00809856
             125.325           0.0107854          0.00821766
             125.775           0.0110022           0.0070267
             126.225            0.011219          0.00839631
             126.675          0.00910525          0.00768173
             127.125          0.00937624          0.00833676
             127.575          0.00845487           0.0085154
             128.025          0.00845487          0.00762218
             128.475          0.00818388          0.00762218
             128.925          0.00834648          0.00756263
             129.375           0.0078587          0.00833676
             129.825           0.0076419          0.00780082
             130.275          0.00910525          0.00774127
             130.725          0.00975562          0.00827721
             131.175          0.00964723          0.00684805
             131.625          0.00677474           0.0085154
             132.075          0.00747931           0.0070267
             132.525          0.00688313          0.00750308
             132.975           0.0076419          0.00625257
             133.425          0.00715412          0.00643121
             133.875          0.00677474          0.00619302
             134.325          0.00612436           0.0067885
             134.775          0.00607016          0.00637166
             135.225          0.00737091          0.00660986
             135.675          0.00607016          0.00601437
             136.125          0.00612436          0.00559754
             136.575          0.00558238          0.00500205
             137.025          0.00547399          0.00631212
             137.475          0.00541979          0.00452567
             137.925           0.0050946           0.0067885
             138.375          0.00569078          0.00625257
             138.825          0.00541979          0.00458522
             139.275          0.00558238          0.00488296
             139.725          0.00531139          0.00559754
