#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               1.422       0.01553816174                   0                   0                   0     2.521104163e-05     0.0005423852528
               1.434       0.02393263184                   0                   0                   0     2.521104163e-05     0.0005547684778
               1.446       0.03520991124                   0                   0                   0     2.205966143e-05     0.0006686941473
               1.458       0.04672840543                   0                   0                   0     0.0002048397132     0.0006464043424
                1.47       0.06437749484                   0                   0                   0     0.0002804728381     0.0006191612475
               1.482       0.08753960488                   0                   0                   0     0.0003498032026     0.0008420592966
               1.494        0.1146790319                   0                   0                   0     0.0004569501295     0.0009584616112
               1.506        0.1457739747                   0                   0                   0     0.0003308949214      0.001094677086
               1.518        0.1850505415                   0                   0                   0     0.0005861567179      0.001258135655
                1.53        0.2278676568                   0                   0                   0      0.000664941223       0.00124079914
               1.542        0.2816186747                   0                   0                   0     0.0004853125514      0.001064957346
               1.554        0.3370721258                   0                   0                   0     0.0006680926032       0.00118631295
               1.566        0.4093818047                   0                   0                   0     0.0008288129936       0.00118631295
               1.578        0.4822944344                   0                   0                   0      0.001670231508      0.001456267254
                1.59        0.5583236907                   0                   0                   0      0.001484300076      0.001567716279
               1.602        0.6399968863                   0                   0                   0      0.001575690102      0.001666782078
               1.614        0.7328260744                   0                   0                   0      0.001865617081      0.001750988008
               1.626        0.8209835354                   0                   0                   0      0.001950704346      0.001911969932
               1.638        0.9096985964                   0                   0                   0       0.00201373195      0.002115054822
                1.65        0.9855451464                   0                   0                   0      0.002196512002      0.002105148242
               1.662         1.079050359                   0                   0                   0      0.002439168278       0.00245683183
               1.674         1.156526572                   0                   0                   0      0.002590434527       0.00243206538
               1.686         1.228643392                   0                   0                   0      0.002599888668      0.002754029229
               1.698         1.303309677                   0                   0                   0      0.002915026688      0.002761459164
                1.71          1.36267362                   0                   0                   0       0.00263455385      0.003026460178
               1.722         1.422847041                   0                   0      0.001789637509      0.002811031142      0.003224591777
               1.734         1.457858387                   0                   0      0.002647429872      0.002801577001      0.003313750997
               1.746         1.483742294                   0                   0       0.00130558214      0.003501183406      0.003464826341
               1.758         1.500009784                   0                   0      0.001717092525      0.004758584108       0.00364809807
                1.77         1.504603562                   0                   0      0.002964305623      0.003885651791      0.003583705301
               1.782         1.508042717                   0                   0      0.004595669395      0.004065280463      0.003754593805
               1.794         1.498136533                   0                   0       0.01978644967      0.004279574317      0.003868519475
               1.806          1.48843708                   0                   0        0.0235919608      0.004569501295      0.003972538564
               1.818         1.449126431                   0                   0       0.03251388149      0.004723918925      0.004391091567
                1.83          1.42691399                   0                   0       0.04278515936      0.005089479029      0.004735345221
               1.842         1.387150219                   0                   0       0.06412630177      0.004966575201      0.004784878121
               1.854         1.341039278                   0                   0        0.1103870663      0.005016997284      0.004802214636
               1.866           1.2932562                   0                   0        0.1306900363      0.005152506633      0.004990439655
               1.878          1.24055039                   0                   0        0.1485858921      0.004859428274      0.005485768653
                1.89         1.178799073                   0                   0        0.1849598266      0.005054813847      0.005765629537
               1.902         1.144814145                   0                   0        0.2233407452      0.005666181606      0.005527871618
               1.914         1.098083157                   0                   0        0.2658177053      0.005269107701      0.006025677261
               1.926         1.042835842                   0                   0        0.3444176909      0.005477098794      0.005886985141
               1.938        0.9995832473                   0                   0        0.4577930579      0.006983458531       0.00618418254
                1.95        0.9444203361                   0                   0        0.5394013516      0.007144178922      0.006478903294
               1.962        0.8896801208                   0                   0        0.6496585055      0.006617898428      0.006857829978
               1.974         0.844546719                   0                   0        0.7708216826       0.00603174171      0.007447271485
               1.986        0.7937993193                   0                   0        0.8587448375      0.006526508402      0.007467084645
               1.998        0.7464167984                   0                   0           1.0445404      0.007607431812      0.007645403084
                2.01        0.7044686266                   0                   0         1.242598592      0.006639958089      0.007994610028
               2.022        0.6594895057                   0                   0         1.298958114      0.006567476344      0.008083769248
               2.034        0.6199429933                   0                   0         1.452674052      0.007456165562      0.007979750158
               2.046        0.5845007797                   0                   0         1.594781771      0.007632642853       0.00866082753
               2.058        0.5462010554                   0                   0         1.713438374      0.008180983009      0.008717790365
                2.07        0.5142421326                   0                   0         1.880331874      0.007456165562      0.009064520664
               2.082        0.4772975773                   0                   0         1.982062393      0.008130560926      0.009584616112
               2.094         0.449284911                   0                   0         2.117651959      0.008294432696      0.009567279597
               2.106         0.426787373                   0                   0         2.278448313      0.008959373919      0.009505363472
               2.118        0.4013378024                   0                   0         2.404717267      0.009271360559       0.01028550664
                2.13        0.3772824557                   0                   0         2.443201198      0.009564438918       0.01022111387
               2.142        0.3545380839                   0                   0         2.456385066      0.009328085403       0.01007251517
               2.154        0.3324436537                   0                   0         2.484565269      0.009145305351        0.0106520501
               2.166        0.3125887413                   0                   0         2.590303142        0.0092808147       0.01124396825
               2.178        0.2912455476                   0                   0          2.59232332       0.01009071941       0.01133808076
                2.19        0.2771382673                   0                   0         2.588888015      0.009974118345       0.01136284721
               2.202        0.2624908388                   0                   0          2.56895661        0.0107777203       0.01145695972
               2.214        0.2504422489                   0                   0         2.544161589       0.01052560988       0.01170957751
               2.226        0.2383315149                   0                   0         2.564196185       0.01050985298       0.01162289494
               2.238        0.2274030281                   0                   0         2.476643748         0.010219926          0.01218757
                2.25        0.2148091381                   0                   0         2.441910681       0.01093213793       0.01260364635
               2.262        0.2050207327                   0                   0         2.399216704       0.01118424834       0.01194485879
               2.274        0.1987698756                   0                   0         2.370626729       0.01034598121       0.01216528019
               2.286        0.1923323647                   0                   0         2.280557803      0.009491957173       0.01208107426
               2.298        0.1866561724                   0                   0         2.316595031       0.01036488949       0.01216775684
                2.31        0.1771328873                   0                   0          2.24137193       0.01096050035       0.01241046805
               2.322        0.1725141625                   0                   0         2.114672346       0.01189961165        0.0123857016
               2.334        0.1669138776     0.0003401829921                   0         2.011397658       0.01222420381       0.01224205619
               2.346        0.1677628118     0.0005815930527                   0         2.039566484       0.01225886899       0.01297761975
               2.358        0.1612761329      0.001272574813                   0         1.946562248       0.01263073186       0.01269280557
                2.37        0.1577387682       0.00211453106                   0         1.889344749       0.01277884673       0.01250210391
               2.382        0.1563984256      0.005017932829                   0         1.783607893       0.01290490193       0.01241789798
               2.394        0.1537725603      0.008024833256                   0         1.653964431       0.01351626969       0.01273490854
               2.406        0.1512275478       0.01347446145                   0         1.609546975       0.01376838011       0.01286369408
               2.418        0.1503605719       0.02299386507                   0         1.560935505       0.01310343889        0.0129256102
                2.43        0.1511331073       0.03445055964                   0         1.480400462       0.01349105865       0.01256649668
               2.442        0.1506190111       0.05366234862                   0         1.464329524       0.01375262321       0.01300486284
               2.454        0.1502755693       0.08333800362                   0         1.338569475       0.01520856086       0.01335406979
               2.466        0.1512926003        0.1250954221                   0         1.279540831       0.01415915126       0.01314603161
               2.478        0.1536924496        0.1670708775                   0         1.211435336       0.01462870691       0.01355220139
                2.49        0.1567388019        0.2367640021                   0          1.13794673       0.01451210584       0.01337883624
               2.502        0.1615498014         0.319419377                   0         1.053304839       0.01411503193       0.01368841686
               2.514        0.1660354471        0.4017823915                   0         1.062795459       0.01382825633       0.01377757608
               2.526        0.1712472621        0.4990319545                   0         1.012176371       0.01519910672       0.01402524058
               2.538        0.1737313773        0.6399105186                   0        0.9601992417       0.01478627592        0.0138172024
                2.55        0.1818611169        0.7952339233                   0        0.9224152593       0.01473900521       0.01336149972
               2.562        0.1862219514        0.9715085374                   0        0.8834762839       0.01539134091       0.01388654846
               2.574        0.1948068995          1.14551161                   0        0.7873517036       0.01492808802       0.01370327673
               2.586        0.2028406685         1.337714275                   0        0.7796646864       0.01460664724       0.01376519285
