22	0.407453
22.5	0.729126
23	0.364563
23.5	0.0214449
24	0
24.5	0
25	0
25.5	0
26	0
26.5	0
27	0
27.5	0
28	0
28.5	0
29	0
29.5	0
30	0
30.5	0
31	0
31.5	0
32	0
32.5	0
33	0
33.5	0
34	0
34.5	0
35	0
35.5	0
36	0
36.5	0
37	0
37.5	0
38	0
38.5	0
39	0
39.5	0
40	0
40.5	0
41	0
41.5	0
42	0
-7.5	0
-7	0
-6.5	0
-6	0
-5.5	0
-5	0
-4.5	0
-4	0
-3.5	0
-3	0.0428897
-2.5	0.343118
-2	0.750571
-1.5	0.407453
-1	0.750571
-0.5	1.54403
0	0.772015
0.5	1.15802
1	0.407453
1.5	0.407453
2	1.58692
2.5	1.45825
3	1.15802
3.5	1.13658
4	0.0857795
4.5	1.13658
5	2.23027
5.5	0.100076
6	1.48684
6.5	1.22236
7	0.79346
7.5	1.84426
8	0.772015
8.5	1.13658
9	0.107224
9.5	1.13658
10	1.07939
10.5	1.13658
11	0.893536
11.5	1.50114
12	1.4797
12.5	0.386008
13	0.814905
13.5	0.107224
14	2.14449
14.5	1.52259
15	0.857795
15.5	0.79346
16	0.729126
16.5	1.20091
17	1.13658
17.5	1.15802
18	0.157262
18.5	1.72989
19	0.471787
19.5	1.11513
20	0.772015
20.5	1.22236
21	1.0651
21.5	0.436046
