 119865  5.78778547   
     0.41169381001190E+01     0.79437781343888E+01    -0.14065170023547E+02
    -0.29784578706284E+01     0.46581824552380E+01    -0.27721524407058E+02
     0.70604418265121E+01    -0.29035378373304E+00    -0.21831765842051E+02
     0.13460427756950E+02    -0.12263868758297E+02    -0.46269772706728E+01
     0.35780974030956E+00     0.38161486464840E+01    -0.54667977284346E+01
    -0.34271735522104E+01     0.89810275588524E+01    -0.35984725105456E+02
     0.10318786542665E+02     0.13890922246732E+02    -0.26918944322187E+02
     0.10781446645393E+02     0.10122983288627E+02    -0.18633039814965E+02
    -0.68178157404045E+01    -0.38288533605193E+01    -0.18446249135785E+02
    -0.81523628989093E+01    -0.81945604495051E+00    -0.25431444243364E+02
    -0.57417655398749E+01    -0.10258392424409E+02    -0.34304809045135E+02
     0.44288160012414E+00    -0.40589428463410E+01    -0.20552876640357E+02
    -0.54945454828921E+01     0.10991009694125E+01    -0.32351225010575E+02
    -0.49915900179279E+01     0.18629146195635E+01    -0.18750795750541E+02
     0.46832180270265E+01     0.38607193116465E+01    -0.40858664593382E+02
     0.32197834166597E+01    -0.46324701127581E+01    -0.16165265580010E+02
     0.47724293004991E+01     0.29379589204424E+01    -0.19052928125997E+02
    -0.51335937706392E+01     0.62078075972177E+01    -0.96972791919774E+01
     0.97059169534868E+01     0.34137938691327E+01    -0.41984813538513E+02
     0.49775869396630E+00     0.10305468147270E+02    -0.25816291156624E+02
     0.18384189876954E+01     0.15246921489508E+01    -0.22885218196785E+02
     0.59134739256866E+01    -0.59557642435110E+01    -0.27051135563675E+02
    -0.16364037052270E+01    -0.42019572017150E+01    -0.29839312803263E+02
    -0.13419012666422E+02     0.19066293467407E+01    -0.29599032392155E+02
    -0.23759906351775E+01    -0.13924044006309E+02    -0.30143948614044E+02
     0.10176351332667E+02    -0.13346831203695E+02     0.11398375029653E+01
    -0.99834950851075E+01     0.61368584465502E+01    -0.20633781932489E+02
     0.43471592472779E+01    -0.71105066073164E+01    -0.22513491418916E+02
    -0.63901042665940E+01    -0.70046254984187E+01    -0.26538896538001E+02
     0.13311248713751E+02    -0.62324031642072E+00    -0.45245807078682E+02
    -0.20178327568286E+01    -0.11691799089692E+02    -0.40070366642451E+02
    -0.12723802295466E+02    -0.92410471091281E+01    -0.21585038049389E+02
    -0.51715373925366E+01    -0.49842735582620E+00    -0.40434600415046E+02
     0.66343244468114E+01    -0.13063728640538E+01    -0.56451892822040E+00
    -0.68409504308118E+01    -0.36379782609370E+01    -0.18249965676352E+01
    -0.21828503168094E+01    -0.90072977208649E+01    -0.25178336468455E+02
     0.62054917656106E+01     0.10010771324235E+02    -0.29539435360858E+02
     0.55919744358094E+01     0.30397112534802E+01    -0.11660897032831E+02
    -0.78392853092730E+01    -0.37680236191641E+01    -0.31305245701708E+02
